iform	iclass	record_count	category	extension	isa_set	cpl	mode_16	mode_32	mode_64	vendor_scope	source_revision	source_reference
ROR_MEMi8_CL_APX	ROR	1	ROTATE	APXEVEX	APX_F	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
ROR_MEMi8_CL_APX_N3	ROR	1	ROTATE	APXEVEX	APX_F_N3	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
ROR_MEMi8_IMM8_APX	ROR	1	ROTATE	APXEVEX	APX_F	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
ROR_MEMi8_IMM8_APX_N3	ROR	1	ROTATE	APXEVEX	APX_F_N3	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
ROR_MEMi8_ONE_APX	ROR	1	ROTATE	APXEVEX	APX_F	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
ROR_MEMi8_ONE_APX_N3	ROR	1	ROTATE	APXEVEX	APX_F_N3	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
ROR_MEMv_CL	ROR	1	ROTATE	BASE	I86	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
ROR_MEMv_CL_APX	ROR	2	ROTATE	APXEVEX	APX_F	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
ROR_MEMv_CL_APX_N3	ROR	2	ROTATE	APXEVEX	APX_F_N3	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
ROR_MEMv_IMM8_APX	ROR	2	ROTATE	APXEVEX	APX_F	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
ROR_MEMv_IMM8_APX_N3	ROR	2	ROTATE	APXEVEX	APX_F_N3	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
ROR_MEMv_IMMb	ROR	1	ROTATE	BASE	I186	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
ROR_MEMv_ONE	ROR	1	ROTATE	BASE	I86	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
ROR_MEMv_ONE_APX	ROR	2	ROTATE	APXEVEX	APX_F	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
ROR_MEMv_ONE_APX_N3	ROR	2	ROTATE	APXEVEX	APX_F_N3	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
ROUNDPD_XMMpd_MEMpd_IMMb	ROUNDPD	1	SSE	SSE4	SSE4	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
ROUNDPD_XMMpd_XMMpd_IMMb	ROUNDPD	1	SSE	SSE4	SSE4	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
ROUNDPS_XMMps_MEMps_IMMb	ROUNDPS	1	SSE	SSE4	SSE4	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
ROUNDPS_XMMps_XMMps_IMMb	ROUNDPS	1	SSE	SSE4	SSE4	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
ROUNDSD_XMMq_MEMq_IMMb	ROUNDSD	1	SSE	SSE4	SSE4	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
ROUNDSD_XMMq_XMMq_IMMb	ROUNDSD	1	SSE	SSE4	SSE4	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
ROUNDSS_XMMd_MEMd_IMMb	ROUNDSS	1	SSE	SSE4	SSE4	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
ROUNDSS_XMMd_XMMd_IMMb	ROUNDSS	1	SSE	SSE4	SSE4	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
RSM	RSM	1	SYSRET	BASE	I486	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
RSQRTPS_XMMps_MEMps	RSQRTPS	1	SSE	SSE	SSE	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
RSQRTPS_XMMps_XMMps	RSQRTPS	1	SSE	SSE	SSE	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
RSQRTSS_XMMss_MEMss	RSQRTSS	1	SSE	SSE	SSE	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
RSQRTSS_XMMss_XMMss	RSQRTSS	1	SSE	SSE	SSE	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
RSTORSSP_MEMu64	RSTORSSP	1	CET	CET	CET	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
SAHF	SAHF	1	FLAGOP	BASE	LAHF	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
SALC	SALC	1	FLAGOP	BASE	I86	3	true	true	false	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
SARX_GPR32d_GPR32d_GPR32d	SARX	2	BMI2	BMI2	BMI2	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
