iclass	iform	disasm_intel	category	extension	isa_set	cpl	mode_restriction	eosz_list	easz_list	operand_list	explicit_operands	implicit_operands	flags	encoding_space	pattern	attributes	undocumented	vendor
FADD	FADD_MEMmem32real	FADD	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:rw:SUPP:f80 MEM0:r:mem32real REG1=XED_REG_X87STATUS:w:SUPP	MEM	ST0 X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xD8 MOD[mm] MOD!=3 REG[0b000] RM[nnn] MODRM()	NOTSX	False	shared-or-unspecified
FADD	FADD_ST0_X87	FADD	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:rw:IMPL:f80 REG1=X87():r:f80 REG2=XED_REG_X87STATUS:w:SUPP	X87	ST0 X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xD8 MOD[0b11] MOD=3 REG[0b000] RM[nnn]	NOTSX	False	shared-or-unspecified
FADD	FADD_MEMm64real	FADD	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:rw:SUPP:f80 MEM0:r:m64real REG1=XED_REG_X87STATUS:w:SUPP	MEM	ST0 X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xDC MOD[mm] MOD!=3 REG[0b000] RM[nnn] MODRM()	NOTSX	False	shared-or-unspecified
FADD	FADD_X87_ST0	FADD	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=X87():rw:f80 REG1=XED_REG_ST0:r:IMPL:f80 REG2=XED_REG_X87STATUS:w:SUPP	X87	ST0 X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xDC MOD[0b11] MOD=3 REG[0b000] RM[nnn]	NOTSX	False	shared-or-unspecified
FMUL	FMUL_ST0_MEMmem32real	FMUL	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:rw:IMPL:f80 MEM0:r:mem32real REG1=XED_REG_X87STATUS:w:SUPP	MEM	ST0 X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xD8 MOD[mm] MOD!=3 REG[0b001] RM[nnn] MODRM()	NOTSX	False	shared-or-unspecified
FMUL	FMUL_ST0_X87	FMUL	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:rw:IMPL:f80 REG1=X87():r:f80 REG2=XED_REG_X87STATUS:w:SUPP	X87	ST0 X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xD8 MOD[0b11] MOD=3 REG[0b001] RM[nnn]	NOTSX	False	shared-or-unspecified
FMUL	FMUL_ST0_MEMm64real	FMUL	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:rw:IMPL:f80 MEM0:r:m64real REG1=XED_REG_X87STATUS:w:SUPP	MEM	ST0 X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xDC MOD[mm] MOD!=3 REG[0b001] RM[nnn] MODRM()	NOTSX	False	shared-or-unspecified
FMUL	FMUL_X87_ST0	FMUL	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=X87():rw:f80 REG1=XED_REG_ST0:r:IMPL:f80 REG2=XED_REG_X87STATUS:w:SUPP	X87	ST0 X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xDC MOD[0b11] MOD=3 REG[0b001] RM[nnn]	NOTSX	False	shared-or-unspecified
FCOMP	FCOMP_ST0_MEMmem32real	FCOMP	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:r:IMPL:f80 MEM0:r:mem32real REG1=XED_REG_X87POP:r:SUPP REG2=XED_REG_X87STATUS:w:SUPP	MEM	ST0 X87POP X87STATUS	MUST [ fc0-mod fc1-mod fc2-mod fc3-mod ]	legacy	0xD8 MOD[mm] MOD!=3 REG[0b011] RM[nnn] MODRM()	NOTSX	False	shared-or-unspecified
FCOMP	FCOMP_ST0_X87	FCOMP	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:r:IMPL:f80 REG1=X87():r:f80 REG2=XED_REG_X87POP:r:SUPP REG3=XED_REG_X87STATUS:w:SUPP	X87	ST0 X87POP X87STATUS	MUST [ fc0-mod fc1-mod fc2-mod fc3-mod ]	legacy	0xD8 MOD[0b11] MOD=3 REG[0b011] RM[nnn]	NOTSX	False	shared-or-unspecified
FCOMP	FCOMP_ST0_X87_DCD1	FCOMP	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:r:IMPL:f80 REG1=X87():r:f80 REG2=XED_REG_X87POP:r:SUPP REG3=XED_REG_X87STATUS:w:SUPP	X87	ST0 X87POP X87STATUS	MUST [ fc0-mod fc1-mod fc2-mod fc3-mod ]	legacy	0xDC MOD[0b11] MOD=3 REG[0b011] RM[nnn]	NOTSX UNDOCUMENTED	True	shared-or-unspecified
FCOMP	FCOMP_ST0_X87_DED0	FCOMP	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:r:IMPL:f80 REG1=X87():r:f80 REG2=XED_REG_X87POP:r:SUPP REG3=XED_REG_X87STATUS:w:SUPP	X87	ST0 X87POP X87STATUS	MUST [ fc0-mod fc1-mod fc2-mod fc3-mod ]	legacy	0xDE MOD[0b11] MOD=3 REG[0b010] RM[nnn]	NOTSX UNDOCUMENTED	True	shared-or-unspecified
FCOMP	FCOMP_ST0_MEMm64real	FCOMP	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:r:IMPL:f80 MEM0:r:m64real REG1=XED_REG_X87POP:r:SUPP REG2=XED_REG_X87STATUS:w:SUPP	MEM	ST0 X87POP X87STATUS	MUST [ fc0-mod fc1-mod fc2-mod fc3-mod ]	legacy	0xDC MOD[mm] MOD!=3 REG[0b011] RM[nnn] MODRM()	NOTSX	False	shared-or-unspecified
FSUB	FSUB_ST0_MEMmem32real	FSUB	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:rw:IMPL:f80 MEM0:r:mem32real REG1=XED_REG_X87STATUS:w:SUPP	MEM	ST0 X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xD8 MOD[mm] MOD!=3 REG[0b100] RM[nnn] MODRM()	NOTSX	False	shared-or-unspecified
FSUB	FSUB_ST0_X87	FSUB	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:rw:IMPL:f80 REG1=X87():r:f80 REG2=XED_REG_X87STATUS:w:SUPP	X87	ST0 X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xD8 MOD[0b11] MOD=3 REG[0b100] RM[nnn]	NOTSX	False	shared-or-unspecified
FSUB	FSUB_ST0_MEMm64real	FSUB	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:rw:IMPL:f80 MEM0:r:m64real REG1=XED_REG_X87STATUS:w:SUPP	MEM	ST0 X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xDC MOD[mm] MOD!=3 REG[0b100] RM[nnn] MODRM()	NOTSX	False	shared-or-unspecified
FSUB	FSUB_X87_ST0	FSUB	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=X87():rw:f80 REG1=XED_REG_ST0:r:IMPL:f80 REG2=XED_REG_X87STATUS:w:SUPP	X87	ST0 X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xDC MOD[0b11] MOD=3 REG[0b101] RM[nnn]	NOTSX	False	shared-or-unspecified
FSUBR	FSUBR_ST0_MEMmem32real	FSUBR	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:rw:IMPL:f80 MEM0:r:mem32real REG1=XED_REG_X87STATUS:w:SUPP	MEM	ST0 X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xD8 MOD[mm] MOD!=3 REG[0b101] RM[nnn] MODRM()	NOTSX	False	shared-or-unspecified
FSUBR	FSUBR_ST0_X87	FSUBR	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:rw:IMPL:f80 REG1=X87():r:f80 REG2=XED_REG_X87STATUS:w:SUPP	X87	ST0 X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xD8 MOD[0b11] MOD=3 REG[0b101] RM[nnn]	NOTSX	False	shared-or-unspecified
FSUBR	FSUBR_ST0_MEMm64real	FSUBR	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:rw:IMPL:f80 MEM0:r:m64real REG1=XED_REG_X87STATUS:w:SUPP	MEM	ST0 X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xDC MOD[mm] MOD!=3 REG[0b101] RM[nnn] MODRM()	NOTSX	False	shared-or-unspecified
FSUBR	FSUBR_X87_ST0	FSUBR	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=X87():rw:f80 REG1=XED_REG_ST0:r:IMPL:f80 REG2=XED_REG_X87STATUS:w:SUPP	X87	ST0 X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xDC MOD[0b11] MOD=3 REG[0b100] RM[nnn]	NOTSX	False	shared-or-unspecified
FDIV	FDIV_ST0_MEMmem32real	FDIV	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:rw:IMPL:f80 MEM0:r:mem32real REG1=XED_REG_X87STATUS:w:SUPP	MEM	ST0 X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xD8 MOD[mm] MOD!=3 REG[0b110] RM[nnn] MODRM()	NOTSX	False	shared-or-unspecified
FDIV	FDIV_ST0_X87	FDIV	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:rw:IMPL:f80 REG1=X87():r:f80 REG2=XED_REG_X87STATUS:w:SUPP	X87	ST0 X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xD8 MOD[0b11] MOD=3 REG[0b110] RM[nnn]	NOTSX	False	shared-or-unspecified
FDIV	FDIV_ST0_MEMm64real	FDIV	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:rw:IMPL:f80 MEM0:r:m64real REG1=XED_REG_X87STATUS:w:SUPP	MEM	ST0 X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xDC MOD[mm] MOD!=3 REG[0b110] RM[nnn] MODRM()	NOTSX	False	shared-or-unspecified
FDIV	FDIV_X87_ST0	FDIV	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=X87():rw:f80 REG1=XED_REG_ST0:r:IMPL:f80 REG2=XED_REG_X87STATUS:w:SUPP	X87	ST0 X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xDC MOD[0b11] MOD=3 REG[0b111] RM[nnn]	NOTSX	False	shared-or-unspecified
FDIVR	FDIVR_ST0_MEMmem32real	FDIVR	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:rw:IMPL:f80 MEM0:r:mem32real REG1=XED_REG_X87STATUS:w:SUPP	MEM	ST0 X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xD8 MOD[mm] MOD!=3 REG[0b111] RM[nnn] MODRM()	NOTSX	False	shared-or-unspecified
FDIVR	FDIVR_ST0_X87	FDIVR	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:rw:IMPL:f80 REG1=X87():r:f80 REG2=XED_REG_X87STATUS:w:SUPP	X87	ST0 X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xD8 MOD[0b11] MOD=3 REG[0b111] RM[nnn]	NOTSX	False	shared-or-unspecified
FDIVR	FDIVR_ST0_MEMm64real	FDIVR	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:rw:IMPL:f80 MEM0:r:m64real REG1=XED_REG_X87STATUS:w:SUPP	MEM	ST0 X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xDC MOD[mm] MOD!=3 REG[0b111] RM[nnn] MODRM()	NOTSX	False	shared-or-unspecified
FDIVR	FDIVR_X87_ST0	FDIVR	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=X87():rw:f80 REG1=XED_REG_ST0:r:IMPL:f80 REG2=XED_REG_X87STATUS:w:SUPP	X87	ST0 X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xDC MOD[0b11] MOD=3 REG[0b110] RM[nnn]	NOTSX	False	shared-or-unspecified
FCOM	FCOM_ST0_MEMmem32real	FCOM	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:r:IMPL:f80 MEM0:r:mem32real REG1=XED_REG_X87STATUS:w:SUPP	MEM	ST0 X87STATUS	MUST [ fc0-mod fc1-mod fc2-mod fc3-mod ]	legacy	0xD8 MOD[mm] MOD!=3 REG[0b010] RM[nnn] MODRM()	NOTSX	False	shared-or-unspecified
FCOM	FCOM_ST0_MEMm64real	FCOM	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:r:IMPL:f80 MEM0:r:m64real REG1=XED_REG_X87STATUS:w:SUPP	MEM	ST0 X87STATUS	MUST [ fc0-mod fc1-mod fc2-mod fc3-mod ]	legacy	0xDC MOD[mm] MOD!=3 REG[0b010] RM[nnn] MODRM()	NOTSX	False	shared-or-unspecified
FCOM	FCOM_ST0_X87	FCOM	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:r:IMPL:f80 REG1=X87():r:f80 REG2=XED_REG_X87STATUS:w:SUPP	X87	ST0 X87STATUS	MUST [ fc0-mod fc1-mod fc2-mod fc3-mod ]	legacy	0xD8 MOD[0b11] MOD=3 REG[0b010] RM[nnn]	NOTSX	False	shared-or-unspecified
FCOM	FCOM_ST0_X87_DCD0	FCOM	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:r:IMPL:f80 REG1=X87():r:f80 REG2=XED_REG_X87STATUS:w:SUPP	X87	ST0 X87STATUS	MUST [ fc0-mod fc1-mod fc2-mod fc3-mod ]	legacy	0xDC MOD[0b11] MOD=3 REG[0b010] RM[nnn]	NOTSX UNDOCUMENTED	True	shared-or-unspecified
FLD	FLD_ST0_MEMmem32real	FLD	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:w:IMPL:f80 MEM0:r:mem32real REG1=XED_REG_X87PUSH:r:SUPP REG2=XED_REG_X87STATUS:w:SUPP	MEM	ST0 X87PUSH X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xD9 MOD[mm] MOD!=3 REG[0b000] RM[nnn] MODRM()	NOTSX	False	shared-or-unspecified
FLD	FLD_ST0_X87	FLD	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:w:IMPL:f80 REG1=X87():r:f80 REG2=XED_REG_X87PUSH:r:SUPP REG3=XED_REG_X87STATUS:w:SUPP	X87	ST0 X87PUSH X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xD9 MOD[0b11] MOD=3 REG[0b000] RM[nnn]	NOTSX	False	shared-or-unspecified
FLD	FLD_ST0_MEMmem80real	FLD	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:w:IMPL:f80 MEM0:r:mem80real REG1=XED_REG_X87PUSH:r:SUPP REG2=XED_REG_X87STATUS:w:SUPP	MEM	ST0 X87PUSH X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xDB MOD[mm] MOD!=3 REG[0b101] RM[nnn] MODRM()	NOTSX	False	shared-or-unspecified
FLD	FLD_ST0_MEMm64real	FLD	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:w:IMPL:f80 MEM0:r:m64real REG1=XED_REG_X87PUSH:r:SUPP REG2=XED_REG_X87STATUS:w:SUPP	MEM	ST0 X87PUSH X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xDD MOD[mm] MOD!=3 REG[0b000] RM[nnn] MODRM()	NOTSX	False	shared-or-unspecified
FST	FST_MEMmem32real_ST0	FST	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	MEM0:w:mem32real REG0=XED_REG_ST0:r:IMPL:f80 REG1=XED_REG_X87STATUS:w:SUPP	MEM	ST0 X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xD9 MOD[mm] MOD!=3 REG[0b010] RM[nnn] MODRM()	NOTSX	False	shared-or-unspecified
FST	FST_MEMm64real_ST0	FST	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	MEM0:w:m64real REG0=XED_REG_ST0:r:IMPL:f80 REG1=XED_REG_X87STATUS:w:SUPP	MEM	ST0 X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xDD MOD[mm] MOD!=3 REG[0b010] RM[nnn] MODRM()	NOTSX	False	shared-or-unspecified
FST	FST_X87_ST0	FST	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=X87():w:f80 REG1=XED_REG_ST0:r:IMPL:f80 REG2=XED_REG_X87STATUS:w:SUPP	X87	ST0 X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xDD MOD[0b11] MOD=3 REG[0b010] RM[nnn]	NOTSX	False	shared-or-unspecified
FSTP	FSTP_MEMmem32real_ST0	FSTP	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	MEM0:w:mem32real REG0=XED_REG_ST0:r:IMPL:f80 REG1=XED_REG_X87POP:r:SUPP REG2=XED_REG_X87STATUS:w:SUPP	MEM	ST0 X87POP X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xD9 MOD[mm] MOD!=3 REG[0b011] RM[nnn] MODRM()	NOTSX	False	shared-or-unspecified
FSTP	FSTP_MEMmem80real_ST0	FSTP	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	MEM0:w:mem80real REG0=XED_REG_ST0:r:IMPL:f80 REG1=XED_REG_X87POP:r:SUPP REG2=XED_REG_X87STATUS:w:SUPP	MEM	ST0 X87POP X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xDB MOD[mm] MOD!=3 REG[0b111] RM[nnn] MODRM()	NOTSX	False	shared-or-unspecified
FSTP	FSTP_MEMm64real_ST0	FSTP	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	MEM0:w:m64real REG0=XED_REG_ST0:r:IMPL:f80 REG1=XED_REG_X87POP:r:SUPP REG2=XED_REG_X87STATUS:w:SUPP	MEM	ST0 X87POP X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xDD MOD[mm] MOD!=3 REG[0b011] RM[nnn] MODRM()	NOTSX	False	shared-or-unspecified
FSTP	FSTP_X87_ST0	FSTP	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=X87():w:f80 REG1=XED_REG_ST0:r:IMPL:f80 REG2=XED_REG_X87POP:r:SUPP REG3=XED_REG_X87STATUS:w:SUPP	X87	ST0 X87POP X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xDD MOD[0b11] MOD=3 REG[0b011] RM[nnn]	NOTSX	False	shared-or-unspecified
FSTP	FSTP_X87_ST0_DFD0	FSTP	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=X87():w:f80 REG1=XED_REG_ST0:r:IMPL:f80 REG2=XED_REG_X87POP:r:SUPP REG3=XED_REG_X87STATUS:w:SUPP	X87	ST0 X87POP X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xDF MOD[0b11] MOD=3 REG[0b010] RM[nnn]	NOTSX UNDOCUMENTED	True	shared-or-unspecified
FSTP	FSTP_X87_ST0_DFD1	FSTP	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=X87():w:f80 REG1=XED_REG_ST0:r:IMPL:f80 REG2=XED_REG_X87POP:r:SUPP REG3=XED_REG_X87STATUS:w:SUPP	X87	ST0 X87POP X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xDF MOD[0b11] MOD=3 REG[0b011] RM[nnn]	NOTSX UNDOCUMENTED	True	shared-or-unspecified
FSTPNCE	FSTPNCE_X87_ST0	FSTPNCE	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	REG0=X87():w:f80 REG1=XED_REG_ST0:r:IMPL:f80 REG2=XED_REG_X87POP:r:SUPP REG3=XED_REG_X87STATUS:w:SUPP	X87	ST0 X87POP X87STATUS	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xD9 MOD[0b11] MOD=3 REG[0b011] RM[nnn]	NOTSX UNDOCUMENTED	True	shared-or-unspecified
FLDENV	FLDENV_MEMmem14	FLDENV	X87_ALU	X87	X87	3	16	16	16 32 64	MEM0:r:mem14 REG0=XED_REG_X87STATUS:w:SUPP	MEM	X87STATUS	MUST [ fc0-mod fc1-mod fc2-mod fc3-mod ]	legacy	0xD9 MOD[mm] MOD!=3 REG[0b100] RM[nnn] MODE=0 OSZ=0 MODRM()	X87_CONTROL NOTSX	False	shared-or-unspecified
FLDENV	FLDENV_MEMmem14	FLDENV	X87_ALU	X87	X87	3	32	16	16 32 64	MEM0:r:mem14 REG0=XED_REG_X87STATUS:w:SUPP	MEM	X87STATUS	MUST [ fc0-mod fc1-mod fc2-mod fc3-mod ]	legacy	0xD9 MOD[mm] MOD!=3 REG[0b100] RM[nnn] MODE=1 OSZ=1 MODRM()	X87_CONTROL NOTSX	False	shared-or-unspecified
FLDENV	FLDENV_MEMmem14	FLDENV	X87_ALU	X87	X87	3	64	16	16 32 64	MEM0:r:mem14 REG0=XED_REG_X87STATUS:w:SUPP	MEM	X87STATUS	MUST [ fc0-mod fc1-mod fc2-mod fc3-mod ]	legacy	0xD9 MOD[mm] MOD!=3 REG[0b100] RM[nnn] MODE=2 REXW=0 OSZ=1 MODRM()	X87_CONTROL NOTSX	False	shared-or-unspecified
FLDENV	FLDENV_MEMmem28	FLDENV	X87_ALU	X87	X87	3	16	32	16 32 64	MEM0:r:mem28 REG0=XED_REG_X87STATUS:w:SUPP	MEM	X87STATUS	MUST [ fc0-mod fc1-mod fc2-mod fc3-mod ]	legacy	0xD9 MOD[mm] MOD!=3 REG[0b100] RM[nnn] MODE=0 OSZ=1 MODRM()	X87_CONTROL NOTSX	False	shared-or-unspecified
FLDENV	FLDENV_MEMmem28	FLDENV	X87_ALU	X87	X87	3	32	32	16 32 64	MEM0:r:mem28 REG0=XED_REG_X87STATUS:w:SUPP	MEM	X87STATUS	MUST [ fc0-mod fc1-mod fc2-mod fc3-mod ]	legacy	0xD9 MOD[mm] MOD!=3 REG[0b100] RM[nnn] MODE=1 OSZ=0 MODRM()	X87_CONTROL NOTSX	False	shared-or-unspecified
FLDENV	FLDENV_MEMmem28	FLDENV	X87_ALU	X87	X87	3	64	64	16 32 64	MEM0:r:mem28 REG0=XED_REG_X87STATUS:w:SUPP	MEM	X87STATUS	MUST [ fc0-mod fc1-mod fc2-mod fc3-mod ]	legacy	0xD9 MOD[mm] MOD!=3 REG[0b100] RM[nnn] MODE=2 REXW=1 MODRM()	X87_CONTROL NOTSX	False	shared-or-unspecified
FLDENV	FLDENV_MEMmem28	FLDENV	X87_ALU	X87	X87	3	64	32	16 32 64	MEM0:r:mem28 REG0=XED_REG_X87STATUS:w:SUPP	MEM	X87STATUS	MUST [ fc0-mod fc1-mod fc2-mod fc3-mod ]	legacy	0xD9 MOD[mm] MOD!=3 REG[0b100] RM[nnn] MODE=2 REXW=0 OSZ=0 MODRM()	X87_CONTROL NOTSX	False	shared-or-unspecified
FLDCW	FLDCW_MEMmem16	FLDCW	X87_ALU	X87	X87	3	16 32 64	16 32 64	16 32 64	MEM0:r:mem16 REG0=XED_REG_X87CONTROL:w:SUPP REG1=XED_REG_X87STATUS:w:SUPP	MEM	X87CONTROL X87STATUS	MUST [ fc0-u   fc1-u   fc2-u   fc3-u   ]	legacy	0xD9 MOD[mm] MOD!=3 REG[0b101] RM[nnn] MODRM()	X87_CONTROL NOTSX	False	shared-or-unspecified
FNSTENV	FNSTENV_MEMmem14	FNSTENV	X87_ALU	X87	X87	3	16	16	16 32 64	MEM0:w:mem14 REG0=XED_REG_X87STATUS:w:SUPP	MEM	X87STATUS	MUST [ fc0-u   fc1-u   fc2-u   fc3-u   ]	legacy	0xD9 MOD[mm] MOD!=3 REG[0b110] RM[nnn] MODE=0 OSZ=0 MODRM()	X87_NOWAIT X87_CONTROL NOTSX	False	shared-or-unspecified
FNSTENV	FNSTENV_MEMmem14	FNSTENV	X87_ALU	X87	X87	3	32	16	16 32 64	MEM0:w:mem14 REG0=XED_REG_X87STATUS:w:SUPP	MEM	X87STATUS	MUST [ fc0-u   fc1-u   fc2-u   fc3-u   ]	legacy	0xD9 MOD[mm] MOD!=3 REG[0b110] RM[nnn] MODE=1 OSZ=1 MODRM()	X87_NOWAIT X87_CONTROL NOTSX	False	shared-or-unspecified
FNSTENV	FNSTENV_MEMmem14	FNSTENV	X87_ALU	X87	X87	3	64	16	16 32 64	MEM0:w:mem14 REG0=XED_REG_X87STATUS:w:SUPP	MEM	X87STATUS	MUST [ fc0-u   fc1-u   fc2-u   fc3-u   ]	legacy	0xD9 MOD[mm] MOD!=3 REG[0b110] RM[nnn] MODE=2 REXW=0 OSZ=1 MODRM()	X87_NOWAIT X87_CONTROL NOTSX	False	shared-or-unspecified
FNSTENV	FNSTENV_MEMmem28	FNSTENV	X87_ALU	X87	X87	3	16	32	16 32 64	MEM0:w:mem28 REG0=XED_REG_X87STATUS:w:SUPP	MEM	X87STATUS	MUST [ fc0-u   fc1-u   fc2-u   fc3-u   ]	legacy	0xD9 MOD[mm] MOD!=3 REG[0b110] RM[nnn] MODE=0 OSZ=1 MODRM()	X87_NOWAIT X87_CONTROL NOTSX	False	shared-or-unspecified
FNSTENV	FNSTENV_MEMmem28	FNSTENV	X87_ALU	X87	X87	3	32	32	16 32 64	MEM0:w:mem28 REG0=XED_REG_X87STATUS:w:SUPP	MEM	X87STATUS	MUST [ fc0-u   fc1-u   fc2-u   fc3-u   ]	legacy	0xD9 MOD[mm] MOD!=3 REG[0b110] RM[nnn] MODE=1 OSZ=0 MODRM()	X87_NOWAIT X87_CONTROL NOTSX	False	shared-or-unspecified
